,draft_year,draft_round,pick_no,team,prospect_name,prospect_id,dob,birth_country,height,weight,shoots,nhl_id,position,prospect_category,amateur_league,amateur_team
394,2010,7,184,Columbus Blue Jackets,Martin Ouellette,18660,1991-12-30,CAN,"6' 1""",160,L,8475910,G,North American Goalie,HIGH-NH,Kimball Union Academy
395,2010,7,185,New York Islanders,Cody Rosen,21097,1990-09-27,NaN,"5' 11""",180,L,8475880,G,North American Goalie,ECAC,Clarkson U.
397,2010,7,187,Carolina Hurricanes,Frederik Andersen,93577,1989-10-02,NaN,"6' 4""",230,R,8475883,G,North American Goalie,SWEDEN,Frolunda
401,2010,7,191,Chicago Blackhawks,Mac Carruth,3702,1992-03-25,USA,"6' 2""",169,L,8475879,G,North American Goalie,WHL,Portland
458,2011,2,38,Nashville Predators,Magnus Hellberg,33912,1991-04-04,SWE,"6' 5""",187,L,8476433,G,European Goalie,SWEDEN-2,Almtuna
459,2011,2,39,Anaheim Ducks,John Gibson,8828,1993-07-14,USA,"6' 3""",226,L,8476434,G,North American Goalie,USHL,USA U-18
469,2011,2,49,Los Angeles Kings,Christopher Gibson,8824,1992-12-27,FIN,"6' 2""",192,L,8476444,G,North American Goalie,QMJHL,Chicoutimi
482,2011,3,62,Edmonton Oilers,Samu Perhonen,43632,1993-03-07,FIN,"6' 5""",205,L,8476387,G,European Goalie,Finland Jr.,JYP Jr.
491,2011,3,71,Vancouver Canucks,David Honzik,10965,1993-08-09,CZE,"6' 3""",213,L,8476395,G,North American Goalie,QMJHL,Victoriaville
508,2011,3,88,St. Louis Blues,Jordan Binnington,1817,1993-07-11,CAN,"6' 2""",169,L,8476412,G,North American Goalie,OHL,Owen Sound
537,2011,4,117,Washington Capitals,Steffen Soberg,47677,1993-08-06,NOR,"5' 11""",176,L,8476359,G,European Goalie,NORWAY,Manglerud
552,2011,5,132,St. Louis Blues,Niklas Lundstrom,39952,1993-01-10,SWE,"6' 2""",194,L,8476373,G,European Goalie,SWEDEN-JR.,AIK Jr.
577,2011,6,157,Winnipeg Jets,Jason Kasdorf,12218,1992-05-18,CAN,"6' 4""",190,L,8476309,G,North American Goalie,MJHL,Portage
581,2011,6,161,Minnesota Wild,Steve Michalek,16826,1993-08-06,USA,"6' 2""",196,L,8476313,G,North American Goalie,HIGH-CT,Loomis-Chaffee
583,2011,6,163,Carolina Hurricanes,Matt Mahalak,15237,1993-01-22,USA,"6' 2""",186,L,8476315,G,North American Goalie,OHL,Plymouth
584,2011,6,164,Calgary Flames,Laurent Brossoit,2838,1993-03-23,CAN,"6' 3""",200,L,8476316,G,North American Goalie,WHL,Edmonton
587,2011,6,167,Buffalo Sabres,Nathan Lieuwen,14393,1991-08-08,CAN,"6' 5""",185,L,8476319,G,North American Goalie,WHL,Kootenay
598,2011,6,178,Tampa Bay Lightning,Adam Wilcox,26133,1992-11-26,USA,"6' 1""",178,L,8476330,G,North American Goalie,USHL,Green Bay
601,2011,6,181,Boston Bruins,Lars Volden,50806,1992-07-26,NOR,"6' 3""",209,L,8476333,G,European Goalie,Finland Jr.,Blues Jr.
602,2011,7,182,Edmonton Oilers,Frans Tuohimaa,49803,1991-08-19,FIN,"6' 2""",178,L,8476334,G,European Goalie,Finland Jr.,Jokerit Jr.
608,2011,7,188,Columbus Blue Jackets,Anton Forsberg,32022,1992-11-27,SWE,"6' 3""",183,L,8476341,G,European Goalie,SWEDEN-JR.,Modo Jr.
610,2011,7,190,Toronto Maple Leafs,Garret Sparks,23151,1993-06-28,USA,"6' 2""",209,L,8476343,G,North American Goalie,OHL,Guelph
631,2011,7,211,Chicago Blackhawks,Johan Mattsson,40771,1992-04-25,SWE,"6' 4""",200,L,8476295,G,European Goalie,SWEDEN-JR.,Sodertalje Jr.
650,2012,1,19,Tampa Bay Lightning,Andrei Vasilevskiy,50342,1994-07-25,RUS,"6' 4""",201,L,8476883,G,European Goalie,RUSSIA,Ufa 2
655,2012,1,24,Boston Bruins,Malcolm Subban,23753,1993-12-21,CAN,"6' 2""",201,L,8476876,G,North American Goalie,OHL,Belleville
662,2012,2,31,Columbus Blue Jackets,Oscar Dansk,30469,1994-02-28,SWE,"6' 3""",201,L,8476861,G,North American Goalie,SWEDEN-JR.,Brynas Jr.
676,2012,2,45,Philadelphia Flyers,Anthony Stolarz,23592,1994-01-20,USA,"6' 6""",220,L,8476932,G,North American Goalie,NAHL,Corpus Christi
693,2012,3,62,Columbus Blue Jackets,Joonas Korpisalo,37547,1994-04-28,FIN,"6' 3""",181,L,8476914,G,European Goalie,Finland Jr.,Jokerit Jr.
700,2012,3,69,Carolina Hurricanes,Daniel Altshuller,265,1994-07-24,CAN,"6' 4""",205,L,8476909,G,North American Goalie,OHL,Oshawa
706,2012,3,75,Calgary Flames,Jon Gillies,8899,1994-01-22,USA,"6' 5""",216,L,8476903,G,North American Goalie,USHL,Indiana
707,2012,3,76,Ottawa Senators,Chris Driedger,6529,1994-05-18,CAN,"6' 3""",199,L,8476904,G,North American Goalie,WHL,Calgary
711,2012,3,80,Detroit Red Wings,Jake Paterson,19003,1994-05-03,CAN,"6' 1""",186,L,8476896,G,North American Goalie,OHL,Saginaw
714,2012,3,83,Pittsburgh Penguins,Matt Murray,17744,1994-05-25,CAN,"6' 4""",174,L,8476899,G,North American Goalie,OHL,Sault Ste. Marie
718,2012,3,87,Anaheim Ducks,Frederik Andersen,93577,1989-10-02,NaN,"6' 4""",230,R,8475883,G,North American Goalie,SWEDEN,Frolunda
744,2012,4,113,Pittsburgh Penguins,Sean Maguire,53173,1993-02-02,CAN,"6' 1""",203,L,8476963,G,North American Goalie,BCHL,Powell River
761,2012,5,130,Winnipeg Jets,Connor Hellebuyck,54646,1993-05-19,USA,"6' 4""",185,L,8476945,G,North American Goalie,NAHL,Odessa
775,2012,5,144,Dallas Stars,Henri Kiviaho,36810,1994-02-26,FIN,"6' 4""",194,L,8477026,G,European Goalie,Finland Jr.,Kalpa Jr.
777,2012,5,146,St. Louis Blues,Francois Tremblay,24693,1994-08-29,CAN,"6' 2""",185,L,8477017,G,North American Goalie,QMJHL,Val d'Or
790,2012,6,159,Carolina Hurricanes,Collin Olson,18531,1994-04-04,USA,"6' 3""",213,L,8477007,G,North American Goalie,USHL,USA U-18
794,2012,6,163,Buffalo Sabres,Linus Ullmark,49978,1993-07-31,SWE,"6' 3""",194,L,8476999,G,North American Goalie,SWEDEN-JR.,Modo Jr.
797,2012,6,166,Ottawa Senators,Francois Brassard,2626,1994-01-31,CAN,"6' 2""",165,L,8477002,G,North American Goalie,QMJHL,Quebec
810,2012,6,179,Nashville Predators,Marek Mazanec,40855,1991-07-18,CZE,"6' 4""",187,R,8476992,G,European Goalie,Czech Republic,Plzen
815,2012,7,184,Phoenix Coyotes,Marek Langhamer,38820,1994-07-22,CZE,"6' 2""",189,L,8476986,G,North American Goalie,CZREP-JR.,Pardubice Jr.
821,2012,7,190,Winnipeg Jets,Jamie Phillips,19516,1993-03-24,CAN,"6' 1""",170,L,8477050,G,North American Goalie,OJHL,Toronto JC
822,2012,7,191,Chicago Blackhawks,Brandon Whitney,26072,1994-05-11,CAN,"6' 5""",204,L,8477051,G,North American Goalie,QMJHL,Victoriaville
830,2012,7,199,Chicago Blackhawks,Matt Tomkins,53238,1994-06-19,CAN,"6' 3""",194,L,8477035,G,North American Goalie,AJHL,Sherwood Park
834,2012,7,203,Washington Capitals,Sergey Kostenko,37642,1992-09-17,RUS,"5' 11""",187,L,8477039,G,European Goalie,RUSSIA-JR.,Novokuznetsk 2
878,2013,2,36,Montréal Canadiens,Zach Fucale,8264,1995-05-28,CAN,"6' 2""",180,L,8477457,G,North American Goalie,QMJHL,Halifax
886,2013,2,44,Pittsburgh Penguins,Tristan Jarry,11654,1995-04-29,CAN,"6' 1""",185,L,8477465,G,North American Goalie,WHL,Edmonton
896,2013,2,54,Dallas Stars,Philippe Desrosiers,6022,1995-08-16,CAN,"6' 1""",190,L,8477475,G,North American Goalie,QMJHL,Rimouski
901,2013,2,59,Winnipeg Jets,Eric Comrie,4609,1995-07-06,CAN,"6' 1""",167,L,8477480,G,North American Goalie,WHL,Tri-City
905,2013,3,63,Colorado Avalanche,Spencer Martin,15701,1995-06-08,CAN,"6' 3""",206,L,8477484,G,North American Goalie,OHL,Mississauga
912,2013,3,70,New York Islanders,Eamon Mcadam,15920,1994-09-24,USA,"6' 2""",188,L,8477438,G,North American Goalie,USHL,Waterloo
920,2013,3,78,Ottawa Senators,Marcus Hogberg,34219,1994-11-25,SWE,"6' 5""",218,L,8477405,G,European Goalie,SWEDEN-JR.,Linkoping Jr.
934,2013,4,92,Florida Panthers,Evan Cowley,56525,1995-07-31,CAN,"6' 4""",200,L,8477418,G,North American Goalie,NAHL,Wichita Falls
941,2013,4,99,Nashville Predators,Juuse Saros,46130,1995-04-19,FIN,"5' 11""",178,L,8477424,G,European Goalie,Finland Jr.,HPK Jr.
948,2013,4,106,New York Islanders,Stephon Williams,26232,1993-04-28,USA,"6' 2""",194,L,8477431,G,North American Goalie,WCHA,Minnesota State
959,2013,4,117,San Jose Sharks,Fredrik Bergvik,55621,1995-02-14,SWE,"6' 2""",194,L,8477443,G,European Goalie,SWEDEN-JR.,Frolunda Jr.
966,2013,5,124,Tampa Bay Lightning,Kristers Gudlevskis,33087,1992-07-31,LVA,"6' 4""",212,L,8477356,G,North American Goalie,RUSSIA-JR.,Riga 2
971,2013,5,129,Buffalo Sabres,Cal Petersen,19379,1994-10-19,USA,"6' 2""",172,R,8477361,G,North American Goalie,USHL,Waterloo
988,2013,5,146,Los Angeles Kings,Patrik Bartosak,28258,1993-03-29,CZE,"6' 1""",194,L,8477378,G,North American Goalie,WHL,Red Deer
1004,2013,6,162,Philadelphia Flyers,Merrick Madsen,54226,1995-08-22,USA,"6' 4""",184,L,8477395,G,North American Goalie,HIGH-NH,Proctor Academy
1005,2013,6,163,Phoenix Coyotes,Brendan Burke,3125,1995-03-11,USA,"6' 4""",185,L,8477396,G,North American Goalie,WHL,Portland
1012,2013,6,170,New York Rangers,Mackenzie Skapski,22670,1994-06-15,CAN,"6' 2""",186,L,8477084,G,North American Goalie,WHL,Kootenay
1014,2013,6,172,Toronto Maple Leafs,Antoine Bibeau,1739,1994-05-01,CAN,"6' 2""",210,L,8477312,G,North American Goalie,QMJHL,PEI
1042,2013,7,200,Minnesota Wild,Alexandre Belanger,1382,1995-08-19,CAN,"6' 1""",192,L,8477339,G,North American Goalie,QMJHL,Rouyn-Noranda
1045,2013,7,203,Nashville Predators,Janne Juvonen,35778,1994-10-03,FIN,"6' 1""",183,L,8477342,G,European Goalie,Finland Jr.,Pelicans Jr.
1050,2013,7,208,New Jersey Devils,Anthony Brodeur,53033,1995-06-08,USA,"5' 10""",196,L,8477348,G,North American Goalie,HIGH-MN,Shattuck-St. Mary's
1087,2014,2,34,Calgary Flames,Mason Mcdonald,55100,1996-04-23,CAN,"6' 4""",204,R,8477965,G,North American Goalie,QMJHL,Charlottetown
1089,2014,2,36,Vancouver Canucks,Thatcher Demko,5885,1995-12-08,USA,"6' 4""",199,L,8477967,G,North American Goalie,H-EAST,Boston College
1090,2014,2,37,Carolina Hurricanes,Alex Nedeljkovic,54889,1996-01-07,USA,"6' 0""",192,L,8477968,G,North American Goalie,OHL,Plymouth
1092,2014,2,39,Washington Capitals,Vitek Vanecek,57498,1996-01-09,CZE,"6' 1""",180,L,8477970,G,North American Goalie,CZREP-JR.,Liberec Jr.
1112,2014,2,59,New York Rangers,Brandon Halverson,54893,1996-03-29,USA,"6' 4""",203,L,8477990,G,North American Goalie,OHL,Sault Ste. Marie
1114,2014,3,61,Buffalo Sabres,Jonas Johansson,53553,1995-09-19,SWE,"6' 4""",198,L,8477992,G,European Goalie,SWEDEN-JR.,Brynas Jr.
1129,2014,3,76,Columbus Blue Jackets,Elvis Merzlikins,41028,1994-04-13,LVA,"6' 3""",192,L,8478007,G,European Goalie,SWISS,Lugano
1131,2014,3,78,New York Islanders,Ilya Sorokin,55855,1995-08-04,RUS,"6' 2""",176,L,8478009,G,European Goalie,RUSSIA,Novokuznetsk
1147,2014,4,94,St. Louis Blues,Ville Husso,34721,1995-02-06,FIN,"6' 3""",205,L,8478024,G,North American Goalie,FINLAND,HIFK
1148,2014,4,95,New York Islanders,Linus Soderstrom,57932,1996-08-23,SWE,"6' 4""",198,L,8478025,G,European Goalie,SWEDEN-JR.,Djurgarden Jr.
1162,2014,4,109,Minnesota Wild,Kaapo Kahkonen,55221,1996-08-16,FIN,"6' 2""",216,L,8478039,G,European Goalie,Finland Jr.,Blues Jr.
1164,2014,4,111,Edmonton Oilers,Zachary Nagelvoort,58364,1994-01-30,USA,"6' 2""",190,L,8478041,G,North American Goalie,BIG10,U. of Michigan
1168,2014,4,115,Dallas Stars,Brent Moran,54812,1996-07-05,CAN,"6' 4""",201,L,8478045,G,North American Goalie,OHL,Niagara
1171,2014,4,118,New York Rangers,Igor Shesterkin,55357,1995-12-30,RUS,"6' 1""",187,L,8478048,G,European Goalie,RUSSIA-JR.,Spartak 2
1189,2014,5,136,Detroit Red Wings,Chase Perry,55602,1996-02-08,USA,"6' 3""",194,L,8478065,G,North American Goalie,NAHL,Wenatchee
1203,2014,5,150,Los Angeles Kings,Alec Dillon,6172,1996-05-05,CAN,"6' 5""",187,L,8478079,G,North American Goalie,BCHL,Victoria
1227,2014,6,174,Colorado Avalanche,Maximilian Pajpach,55346,1996-01-04,SVK,"6' 1""",207,L,8478102,G,European Goalie,SLOVAKIA-2,Slovakia U18
1230,2014,6,177,Montréal Canadiens,Hayden Hawkey,54723,1995-03-01,USA,"6' 1""",186,L,8478105,G,North American Goalie,USHL,Omaha
1232,2014,6,179,Chicago Blackhawks,Ivan Nalimov,41839,1994-03-12,RUS,"6' 5""",211,L,8478107,G,European Goalie,RUSSIA-JR.,SKA St. Petersburg 2
1235,2014,7,182,Florida Panthers,Hugo Fagerblom,57306,1996-01-09,SWE,"6' 6""",202,L,8478110,G,European Goalie,SWEDEN-JR. U18,Frolunda U18
1236,2014,7,183,Edmonton Oilers,Keven Bouchard,58016,1996-04-19,CAN,"6' 2""",204,L,8478111,G,North American Goalie,QMJHL,Val d'Or
1285,2015,1,22,Washington Capitals,Ilya Samsonov,59764,1997-02-22,RUS,"6' 4""",203,L,8478492,G,European Goalie,RUSSIA-JR.,Magnitogorsk 2
1305,2015,2,42,New Jersey Devils,Mackenzie Blackwood,54862,1996-12-09,CAN,"6' 4""",224,L,8478406,G,North American Goalie,OHL,Barrie
1333,2015,3,70,Philadelphia Flyers,Felix Sandstrom,57291,1997-01-12,SWE,"6' 2""",191,L,8478433,G,European Goalie,SWEDEN-JR.,Brynas Jr.
1338,2015,3,75,Boston Bruins,Dan Vladar,57499,1997-08-20,CZE,"6' 5""",187,L,8478435,G,North American Goalie,CZREP-2,Kladno
1339,2015,3,76,Arizona Coyotes,Adin Hill,60382,1996-05-11,CAN,"6' 4""",202,L,8478499,G,North American Goalie,WHL,Portland
1340,2015,3,77,Florida Panthers,Sam Montembeault,59009,1996-10-30,CAN,"6' 3""",191,L,8478470,G,North American Goalie,QMJHL,Blainville-Boisbriand
1349,2015,3,86,San Jose Sharks,Mike Robinson,65364,1997-03-27,USA,"6' 3""",196,L,8478837,G,North American Goalie,HIGH-MA,Lawrence Academy
1353,2015,3,90,Philadelphia Flyers,Matej Tomek,59557,1997-05-24,SVK,"6' 3""",185,L,8478489,G,European Goalie,NAHL,Topeka
1356,2015,4,93,Carolina Hurricanes,Callum Booth,59020,1997-05-21,CAN,"6' 4""",190,L,8478473,G,North American Goalie,QMJHL,Quebec
1373,2015,4,110,Detroit Red Wings,Joren Van Pottelberghe,62341,1997-06-05,CHE,"6' 3""",201,L,8478847,G,European Goalie,SWEDEN-JR. U18,Linkoping U18
1374,2015,4,111,Minnesota Wild,Ales Stezka,57082,1997-01-06,CZE,"6' 4""",192,L,8478848,G,European Goalie,CZREP-JR.,Liberec Jr.
1408,2015,5,145,Nashville Predators,Karel Vejmelka,55353,1996-05-25,CZE,"6' 3""",205,R,8478872,G,European Goalie,CZREP-JR.,Pardubice Jr.
1409,2015,5,146,St. Louis Blues,Luke Opilka,58815,1997-02-27,USA,"6' 2""",190,L,8478461,G,North American Goalie,USHL,USA U-18
1416,2015,6,153,Tampa Bay Lightning,Kristian Oldham,58816,1997-06-25,USA,"6' 3""",214,L,8478878,G,North American Goalie,USHL,Omaha
1426,2015,6,163,Dallas Stars,Markus Ruusu,67037,1997-08-23,FIN,"6' 2""",176,L,8478886,G,European Goalie,Finland Jr.,JYP Jr.
1442,2015,6,179,Anaheim Ducks,Garrett Metcalf,66107,1996-03-05,USA,"6' 3""",193,L,8478899,G,North American Goalie,USHL,Madison
1446,2015,7,183,Arizona Coyotes,Erik Kallgren,56615,1996-10-14,SWE,"6' 3""",198,L,8478902,G,European Goalie,SWEDEN-JR.,Linkoping Jr.
1447,2015,7,184,New York Rangers,Adam Huska,59559,1997-05-12,SVK,"6' 4""",202,L,8478903,G,North American Goalie,USHL,Green Bay
1451,2015,7,188,Philadelphia Flyers,Ivan Fedotov,60457,1996-11-28,RUS,"6' 6""",207,L,8478905,G,European Goalie,RUSSIA-JR.,Nizhnekamsk 2
1456,2015,7,193,San Jose Sharks,Jake Kupsky,68637,1995-10-25,NaN,"6' 5""",210,R,8478910,G,North American Goalie,NAHL,Lone Star
1462,2015,7,199,Ottawa Senators,Joey Daccord,55434,1996-08-19,USA,"6' 2""",197,L,8478916,G,North American Goalie,HIGH-MA,Cushing Academy
1468,2015,7,205,Nashville Predators,Evan Smith,65805,1997-02-27,USA,"6' 6""",176,L,8478919,G,North American Goalie,NAHL,Austin
1469,2015,7,206,Florida Panthers,Ryan Bednard,62578,1997-03-31,USA,"6' 4""",192,L,8478920,G,North American Goalie,NAHL,Johnstown
1471,2015,7,208,Edmonton Oilers,Miroslav Svoboda,57112,1995-03-07,CZE,"6' 3""",176,L,8478922,G,European Goalie,CZREP-JR.,Trinec Jr.
1522,2016,2,48,Philadelphia Flyers,Carter Hart,64200,1998-08-13,CAN,"6' 2""",186,L,8479394,G,North American Goalie,WHL,Everett
1528,2016,2,54,Calgary Flames,Tyler Parsons,64784,1997-09-18,USA,"6' 1""",182,L,8479403,G,North American Goalie,OHL,London
1529,2016,2,55,Pittsburgh Penguins,Filip Gustavsson,65365,1998-06-07,SWE,"6' 2""",190,L,8479406,G,European Goalie,SWEDEN-JR.,Lulea Jr.
1533,2016,2,59,St. Louis Blues,Evan Fitzpatrick,64403,1998-01-28,CAN,"6' 3""",203,L,8479399,G,North American Goalie,QMJHL,Sherbrooke
1536,2016,3,62,Toronto Maple Leafs,Joseph Woll,63063,1998-07-12,USA,"6' 3""",202,L,8479361,G,North American Goalie,USHL,USA U-18
1549,2016,3,75,Carolina Hurricanes,Jack Lafontaine,63871,1998-01-06,CAN,"6' 3""",197,L,8479581,G,North American Goalie,NAHL,Janesville
1557,2016,3,83,Chicago Blackhawks,Wouter Peeters,71778,1998-07-31,BEL,"6' 5""",206,L,8479582,G,European Goalie,RBHS U20,Ec Salzburg 2
1562,2016,3,88,Tampa Bay Lightning,Connor Ingram,65794,1997-03-31,CAN,"6' 2""",202,L,8478971,G,North American Goalie,WHL,Kamloops
1579,2016,4,105,New Jersey Devils,Evan Cormier,59279,1997-11-06,CAN,"6' 2""",216,L,8479331,G,North American Goalie,OHL,Saginaw
1597,2016,5,123,Edmonton Oilers,Dylan Wells,63852,1998-01-03,CAN,"6' 2""",193,L,8479380,G,North American Goalie,OHL,Peterborough
1602,2016,5,128,Dallas Stars,Colton Point,64082,1998-03-04,CAN,"6' 4""",219,L,8479589,G,North American Goalie,CCHL,Carleton Place
1605,2016,5,131,Colorado Avalanche,Adam Werner,59577,1997-05-02,SWE,"6' 5""",198,L,8479530,G,European Goalie,SWEDEN-JR.,Farjestad Jr.
1608,2016,5,134,Carolina Hurricanes,Jeremy Helvig,59243,1997-05-25,CAN,"6' 4""",211,L,8479532,G,North American Goalie,OHL,Kingston
1629,2016,6,155,Columbus Blue Jackets,Peter Thome,67188,1997-05-24,USA,"6' 4""",206,L,8479592,G,North American Goalie,NAHL,Aberdeen
1631,2016,6,157,Winnipeg Jets,Mikhail Berdin,66378,1998-03-01,RUS,"6' 2""",180,L,8479574,G,European Goalie,RUSSIA-JR.,Team Russia U18
1641,2016,6,167,Detroit Red Wings,Filip Larsson,68026,1998-08-17,SWE,"6' 2""",196,L,8479548,G,European Goalie,SWEDEN-JR.,Djurgarden Jr.
1642,2016,6,168,Nashville Predators,Konstantin Volkov,59765,1997-09-20,RUS,"6' 3""",211,L,8479549,G,European Goalie,RUSSIA-JR.,SKA St. Petersburg 2
1648,2016,6,174,New York Rangers,Tyler Wall,63956,1998-01-14,CAN,"6' 3""",202,L,8479596,G,North American Goalie,GOJHL,Leamington
1711,2017,1,26,Dallas Stars,Jake Oettinger,63373,1998-12-18,USA,"6' 4""",218,L,8479979,G,North American Goalie,H-EAST,Boston University
1739,2017,2,54,Buffalo Sabres,Ukko-Pekka Luukkonen,69395,1999-03-09,FIN,"6' 4""",198,L,8480045,G,North American Goalie,Finland Jr.,HPK Jr.
1749,2017,3,64,Vancouver Canucks,Michael Dipietro,68095,1999-06-09,CAN,"6' 0""",205,L,8480022,G,North American Goalie,OHL,Windsor
1757,2017,3,72,Los Angeles Kings,Matt Villalta,73701,1999-06-03,CAN,"6' 2""",165,L,8480191,G,North American Goalie,OHL,Sault Ste. Marie
1763,2017,3,78,Edmonton Oilers,Stuart Skinner,60980,1998-11-01,CAN,"6' 3""",200,L,8479973,G,North American Goalie,WHL,Lethbridge
